Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
54,No,Travel_Frequently,1144,Research & Development,22,3,Life Sciences,88,2,Female,93,3,2,Research Scientist,1,Married,8497,26313,4,No,17,3,4,0,36,2,1,8,8,8,5
26,Yes,Travel_Rarely,465,Research & Development,20,3,Medical,89,3,Male,32,3,1,Sales Executive,3,Divorced,4725,2294,4,No,24,3,3,1,5,2,3,4,3,0,4
60,Yes,Travel_Rarely,1393,Sales,29,4,Marketing,90,1,Female,45,3,1,Human Resources,4,Single,6948,2396,2,No,22,3,1,1,40,0,3,12,11,6,3
49,No,Travel_Frequently,387,Research & Development,27,3,Life Sciences,91,4,Female,80,3,2,Manufacturing Director,2,Single,9288,7157,7,No,21,4,4,2,26,1,4,5,5,9,0
28,No,Travel_Rarely,888,Research & Development,17,3,Medical,92,2,Female,79,4,5,Sales Executive,3,Married,16872,16724,2,No,23,4,1,0,3,3,2,3,3,9,3
30,No,Travel_Frequently,494,Research & Development,29,5,Life Sciences,93,4,Female,32,4,3,Sales Executive,3,Married,9951,23843,2,No,18,3,4,0,6,4,2,2,2,7,2
29,No,Travel_Rarely,819,Research & Development,3,4,Medical,94,3,Male,59,4,2,Research Scientist,4,Divorced,7995,2709,6,Yes,11,3,2,1,8,3,3,8,1,1,5
33,No,Travel_Rarely,675,Research & Development,12,4,Medical,95,1,Male,66,4,2,Manager,4,Single,7096,17054,4,No,18,3,3,2,10,3,1,10,10,6,1
55,No,Travel_Frequently,911,Research & Development,6,4,Life Sciences,96,4,Female,39,2,2,Laboratory Technician,2,Single,9826,20291,9,Yes,20,3,2,0,35,4,2,2,2,3,0
54,No,Travel_Rarely,235,Research & Development,19,5,Medical,97,1,Female,33,4,3,Sales Executive,3,Married,11293,22832,5,Yes,19,3,1,2,35,6,3,20,12,5,10
44,No,Travel_Rarely,1164,Sales,22,4,Medical,98,3,Female,39,3,2,Research Scientist,3,Married,8522,23011,1,No,23,3,4,2,26,4,3,17,1,0,9
45,No,Travel_Rarely,283,Sales,21,3,Medical,99,2,Female,40,2,3,Human Resources,2,Married,10013,21537,0,No,19,4,3,0,21,3,4,2,2,3,2
58,No,Travel_Rarely,493,Research & Development,5,2,Technical Degree,100,1,Female,84,4,1,Healthcare Representative,1,Single,6865,13947,2,No,23,3,4,0,35,3,4,2,2,0,2
56,No,Travel_Frequently,1034,Research & Development,16,3,Medical,101,3,Male,30,2,3,Sales Executive,3,Single,12005,24601,3,No,18,3,3,0,33,4,2,13,11,4,13
43,No,Travel_Rarely,231,Research & Development,19,1,Medical,102,4,Female,61,3,5,Manager,1,Divorced,17053,24716,7,Yes,15,4,1,0,19,2,3,9,9,1,5
48,No,Travel_Rarely,1248,Research & Development,7,1,Medical,103,4,Male,38,2,2,Sales Executive,2,Married,8731,14944,7,No,23,3,2,3,28,3,3,4,4,1,0
56,No,Travel_Rarely,771,Sales,13,5,Medical,104,4,Male,91,1,1,Research Scientist,1,Divorced,6475,26324,4,No,15,3,2,0,36,2,2,4,4,8,0
22,No,Travel_Rarely,1092,Sales,25,3,Life Sciences,105,3,Male,78,2,3,Sales Executive,3,Married,10940,20062,7,Yes,16,3,3,1,3,3,3,3,2,8,3
56,No,Travel_Rarely,970,Research & Development,28,4,Marketing,106,4,Male,73,3,4,Sales Executive,1,Single,13977,4548,2,No,14,3,2,2,35,3,4,9,9,5,9
58,No,Travel_Frequently,1325,Sales,22,3,Life Sciences,107,3,Male,36,3,5,Laboratory Technician,1,Single,17700,7410,2,No,12,3,4,1,40,4,3,13,13,9,9
35,No,Travel_Rarely,1051,Sales,8,3,Life Sciences,108,3,Female,30,4,4,Research Scientist,1,Divorced,12871,8361,8,No,21,3,4,1,17,3,2,16,0,3,11
24,No,Travel_Rarely,1047,Sales,14,1,Medical,109,3,Female,73,2,2,Research Scientist,2,Single,7235,2117,5,No,17,3,4,2,0,6,4,0,0,2,0
22,No,Travel_Frequently,958,Sales,23,5,Life Sciences,110,4,Female,99,2,4,Sales Executive,2,Single,11209,10329,9,No,25,3,4,1,0,5,1,0,0,8,0
26,No,Travel_Frequently,847,Sales,17,1,Life Sciences,111,4,Male,32,4,1,Manager,4,Divorced,4684,6349,5,No,18,3,3,2,4,2,4,4,4,9,4
47,No,Non-Travel,1172,Sales,7,3,Life Sciences,112,1,Female,48,3,1,Sales Executive,1,Divorced,4838,8800,1,No,22,3,4,1,29,3,3,7,7,6,7
35,No,Travel_Rarely,1416,Research & Development,29,1,Technical Degree,113,1,Male,94,4,2,Laboratory Technician,3,Married,7591,5447,7,Yes,24,3,4,0,13,4,3,13,5,8,5
60,No,Travel_Rarely,308,Sales,6,2,Life Sciences,114,4,Female,35,3,1,Laboratory Technician,4,Single,4892,16685,2,No,21,3,1,1,40,2,1,15,11,1,11
48,No,Travel_Rarely,1029,Research & Development,22,2,Life Sciences,115,1,Male,65,3,1,Research Director,1,Single,5558,20931,9,No,11,3,2,1,23,6,4,17,11,8,14
30,Yes,Travel_Frequently,186,Sales,9,3,Marketing,116,2,Male,54,4,2,Human Resources,3,Married,7086,22874,1,No,20,4,3,2,7,3,3,7,4,1,3
36,No,Travel_Rarely,285,Sales,21,4,Other,117,4,Male,46,2,3,Sales Representative,3,Single,11024,20224,3,Yes,12,4,2,0,12,4,1,12,0,2,0
36,No,Travel_Frequently,195,Research & Development,27,3,Marketing,118,4,Female,62,4,1,Healthcare Representative,3,Married,5144,25290,3,No,20,3,1,0,18,4,3,12,5,7,4
47,No,Non-Travel,1015,Research & Development,24,3,Human Resources,119,3,Male,34,4,2,Laboratory Technician,2,Married,7188,16609,8,No,24,3,3,0,29,3,1,5,5,8,1
34,No,Travel_Frequently,557,Research & Development,13,5,Technical Degree,120,3,Male,52,4,3,Sales Executive,4,Single,11982,12542,9,No,22,3,4,0,11,3,3,11,11,2,4
53,No,Travel_Rarely,257,Research & Development,13,4,Medical,121,2,Male,35,4,1,Sales Representative,2,Divorced,6011,13680,1,No,22,4,1,0,33,4,4,16,2,7,10
60,No,Travel_Rarely,318,Research & Development,23,4,Life Sciences,122,1,Male,32,3,4,Healthcare Representative,4,Single,15844,26202,4,No,19,3,4,3,36,2,1,16,2,7,2
53,No,Travel_Frequently,615,Research & Development,19,3,Medical,123,4,Female,90,4,2,Sales Executive,3,Married,9036,20101,1,Yes,19,3,1,0,34,4,2,20,4,3,0
25,No,Travel_Frequently,653,Research & Development,3,4,Medical,124,4,Male,84,4,2,Sales Executive,4,Divorced,7704,24339,2,No,14,3,3,0,6,3,2,5,5,6,5
51,No,Travel_Rarely,1372,Research & Development,16,3,Life Sciences,125,3,Male,37,2,1,Manufacturing Director,4,Divorced,5967,12600,3,No,13,3,1,2,27,3,4,5,5,7,5
58,No,Travel_Rarely,908,Research & Development,9,2,Human Resources,126,1,Male,72,2,1,Sales Representative,2,Single,5879,2946,9,No,20,3,1,3,40,2,2,7,2,4,6
44,No,Travel_Rarely,1493,Research & Development,2,1,Medical,127,3,Male,97,4,2,Sales Executive,3,Divorced,8441,4528,5,No,13,4,4,1,25,2,3,7,6,2,7
60,No,Travel_Frequently,843,Research & Development,6,2,Technical Degree,128,4,Male,79,4,1,Research Scientist,1,Married,4338,8341,9,No,19,3,3,0,35,3,1,11,5,8,5
36,No,Travel_Rarely,325,Research & Development,7,3,Marketing,129,3,Female,36,2,1,Human Resources,3,Single,5892,13728,7,No,14,3,3,2,14,1,2,14,9,7,1
50,No,Non-Travel,1174,Sales,16,4,Life Sciences,130,3,Male,90,2,5,Research Director,1,Divorced,17375,25311,8,No,18,3,1,1,30,4,3,16,0,2,0
57,No,Travel_Rarely,1485,Research & Development,2,4,Technical Degree,131,1,Male,34,4,1,Healthcare Representative,4,Married,5796,7349,4,Yes,14,3,2,2,33,3,4,15,1,9,0
34,No,Travel_Rarely,1360,Sales,7,5,Marketing,132,4,Male,35,4,2,Laboratory Technician,4,Single,6632,22491,0,Yes,14,3,4,1,14,2,1,14,7,2,11
53,No,Travel_Frequently,964,Sales,6,3,Medical,133,4,Male,68,2,3,Research Scientist,4,Married,11594,15212,6,No,19,3,4,0,31,2,4,13,3,4,5
28,No,Travel_Rarely,1102,Research & Development,7,4,Technical Degree,134,1,Male,85,2,2,Research Scientist,3,Divorced,6402,9438,6,No,14,3,1,0,3,2,2,3,3,1,3
43,No,Non-Travel,144,Research & Development,13,2,Life Sciences,135,2,Male,57,4,2,Laboratory Technician,3,Married,7703,4562,7,Yes,24,3,1,2,22,4,2,12,1,7,0
49,No,Travel_Rarely,1461,Research & Development,25,3,Medical,136,4,Male,39,3,2,Manufacturing Director,3,Married,8649,2137,7,No,16,3,2,0,25,4,2,17,6,8,13
23,No,Travel_Frequently,870,Sales,16,3,Life Sciences,137,3,Male,57,1,3,Laboratory Technician,1,Single,8560,18327,3,No,23,3,4,1,2,1,3,2,2,1,2
27,No,Travel_Rarely,818,Sales,9,4,Technical Degree,138,1,Female,92,2,2,Research Scientist,1,Married,6956,23908,1,No,24,4,3,1,7,3,3,7,7,5,5
49,No,Non-Travel,1291,Research & Development,24,3,Marketing,139,1,Female,92,4,2,Healthcare Representative,4,Married,10295,23689,2,Yes,12,3,3,1,24,2,2,17,0,3,8
49,No,Travel_Rarely,1124,Research & Development,10,3,Life Sciences,140,4,Female,38,1,3,Laboratory Technician,4,Divorced,11959,24253,0,No,17,3,2,2,30,2,3,7,0,1,0
41,No,Travel_Rarely,1048,Research & Development,20,2,Life Sciences,141,3,Male,91,2,1,Laboratory Technician,3,Married,5104,13566,1,Yes,22,3,4,0,17,0,2,17,4,6,8
51,No,Travel_Rarely,1067,Research & Development,9,4,Life Sciences,142,4,Female,31,2,3,Healthcare Representative,4,Married,9627,19362,9,No,23,3,1,1,30,0,3,16,3,2,3
32,No,Travel_Rarely,903,Sales,15,4,Medical,143,2,Female,50,4,3,Research Scientist,2,Divorced,10019,4948,1,No,13,3,3,0,7,1,4,4,4,6,4
49,No,Travel_Rarely,1025,Research & Development,14,3,Life Sciences,144,2,Female,38,2,1,Research Director,4,Married,5894,9305,5,No,25,3,4,2,31,6,4,14,2,2,5
46,No,Travel_Rarely,1019,Human Resources,17,1,Other,145,1,Male,80,3,3,Laboratory Technician,1,Married,10978,21925,3,No,11,3,1,1,27,2,4,16,14,6,6
60,No,Travel_Rarely,1006,Research & Development,18,3,Human Resources,146,4,Male,31,4,2,Healthcare Representative,3,Divorced,8868,15662,3,Yes,25,4,1,0,40,2,4,12,3,8,11
54,No,Non-Travel,864,Sales,13,3,Medical,147,4,Male,97,4,2,Healthcare Representative,3,Single,8351,19379,0,No,23,3,1,1,30,0,2,3,1,8,3
22,No,Travel_Rarely,146,Research & Development,13,3,Life Sciences,148,4,Male,81,4,1,Research Scientist,4,Single,4021,5832,9,No,24,3,2,1,0,3,1,0,0,5,0
48,No,Travel_Rarely,531,Research & Development,26,3,Technical Degree,149,1,Male,37,3,5,Research Scientist,4,Married,17045,22118,5,No,18,3,4,0,28,2,4,15,8,3,7
34,No,Travel_Rarely,778,Research & Development,20,4,Marketing,150,2,Female,57,4,2,Research Director,3,Married,7552,7045,3,No,12,3,3,0,11,3,3,11,8,7,5
24,No,Travel_Frequently,981,Sales,19,3,Life Sciences,151,3,Female,55,4,2,Research Scientist,3,Single,7770,8162,0,No,15,3,1,0,1,2,4,1,1,7,1
